Movie Title,Movie Codec,File Size,Folder Name,Multiple Movie Files? (Y/N),Additional Movie Files
The Fifth Element.avi,MPEG-4 Visual,1620742564,The Fifth Element,N,
Wayne's World 2.mp4,AVC,1936817565,Wayne's World 2 (1993),N,
The Little Mermaid (2023) WEBDL-1080p.mkv,AVC,12260618811,The Little Mermaid (2023),N,
Harry Potter and the Half-Blood Prince (2009) Bluray-1080p.mp4,AVC,3143327994,Harry Potter and the Half-Blood Prince (2009),N,
Avengers Age of Ultron.avi,MPEG-4 Visual,4437887778,Avengers Age of Ultron (2015),N,
Holes.2003.DVDRip.ENG-SPA.x264.WRAITH.mkv,AVC,730816846,Holes,N,
Tonari.no.Totoro.1988.720p.HDTV.DD2.0.x264-PerfectionHD.mkv,AVC,4604540346,My Neighbour Totoro,N,
Avatar (2009) Bluray-1080p.mkv,HEVC,3344016079,Avatar (2009),N,
Captain Marvel (2019) WEBDL-2160p.mkv,HEVC,13548490878,Captain Marvel (2019),N,
Scary Movie 2 (2001) Bluray-1080p.mkv,AVC,7037535221,Scary Movie 2 (2001),N,
Sonic the Hedgehog (2020) Bluray-1080p.mp4,AVC,4291048302,Sonic the Hedgehog (2020),N,
Boruto Naruto the Movie (2015) Bluray-720p.mkv,AVC,2294299640,Boruto - Naruto the Movie,N,
Sing 2 (2021) WEBDL-1080p.mkv,AVC,5703761369,Sing 2 (2021),N,
The New Guy (2002) WEBDL-1080p.mkv,AVC,8570866045,The New Guy,N,
Doctor Strange.mkv,AVC,3857468978,Doctor Strange (2016),N,
The SpongeBob Movie Sponge Out of Water.mkv,AVC,3688615680,"SpongeBob Movie Sponge Out of Water, The (2015)",N,
Princess Mononoke.mkv,AVC,2243076090,Princess Mononoke,N,
Stealth (2005) Bluray-1080p.mkv,AVC,8206460718,Stealth (2005),N,
The.Secret.Life.of.Walter.Mitty.2013.1080p.BluRay.x264.YIFY.mp4,AVC,1981135960,The Secret Life of Walter Mitty,N,
Independence Day.mkv,AVC,8532263081,Independence Day (1996),N,
Ocean's Twelve (2004) Bluray-1080p.mkv,HEVC,2812398782,Ocean's 12,N,
The Land Before Time IX - Journey to Big Water (2002) WEBRip-1080p.mkv,AVC,2371165518,The Land Before Time IX - Journey to Big Water (2002),N,
Star Wars - Episode II - Attack of the Clones (2002) Bluray-1080p Proper.mp4,AVC,2917593018,Star Wars - Episode II - Attack of the Clones (2002),N,
